    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    8.279    4.140 main.py:1(<module>)
    960/1    0.010    0.000    8.258    8.258 {built-in method builtins.exec}
        1    0.001    0.001    7.702    7.702 main.py:37(main)
        3    0.000    0.000    6.278    2.093 frame.py:10170(apply)
        3    0.000    0.000    6.278    2.093 apply.py:864(apply)
        3    0.000    0.000    6.278    2.093 apply.py:1061(apply_standard)
        3    0.017    0.006    6.267    2.089 apply.py:1070(apply_series_generator)
       64    5.564    0.087    5.622    0.088 jsb_runner.py:15(run_jsb)
      103    0.001    0.000    1.139    0.011 __init__.py:1(<module>)
       65    0.000    0.000    1.067    0.016 process.py:630(_chain_from_iterable_of_lists)
       65    0.001    0.000    1.028    0.016 _base.py:612(result_iterator)
        1    0.000    0.000    0.961    0.961 generate_param_xml.py:57(generate_param_xml)
  384/150    0.005    0.000    0.916    0.006 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.913    0.913 _base.py:646(__exit__)
        1    0.000    0.000    0.913    0.913 process.py:856(shutdown)
      2/1    0.000    0.000    0.913    0.913 threading.py:1117(join)
      2/1    0.000    0.000    0.911    0.911 threading.py:1155(_wait_for_tstate_lock)
      2/1    0.000    0.000    0.911    0.911 threading.py:1018(_bootstrap)
      2/1    0.000    0.000    0.911    0.911 threading.py:1058(_bootstrap_inner)
        1    0.000    0.000    0.911    0.911 process.py:339(run)
        1    0.000    0.000    0.911    0.911 process.py:568(join_executor_internals)
        1    0.000    0.000    0.911    0.911 process.py:572(_join_executor_internals)
       15    0.000    0.000    0.742    0.049 util.py:208(__call__)
        1    0.000    0.000    0.742    0.742 queues.py:147(join_thread)
        1    0.000    0.000    0.742    0.742 queues.py:214(_finalize_join)
       67    0.001    0.000    0.724    0.011 process.py:414(wait_result_broken_or_wakeup)
       64    0.031    0.000    0.621    0.010 summarize.py:8(summarize_output_info_df)
       67    0.000    0.000    0.580    0.009 process.py:91(clear)
   827/16    0.002    0.000    0.565    0.035 <frozen importlib._bootstrap>:1349(_find_and_load)
   825/16    0.002    0.000    0.565    0.035 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   793/17    0.001    0.000    0.563    0.033 <frozen importlib._bootstrap>:911(_load_unlocked)
   694/17    0.001    0.000    0.563    0.033 <frozen importlib._bootstrap_external>:993(exec_module)
  1840/32    0.001    0.000    0.558    0.017 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      132    0.000    0.000    0.497    0.004 connection.py:253(poll)
      199    0.001    0.000    0.440    0.002 connection.py:1122(wait)
      199    0.009    0.000    0.434    0.002 selectors.py:402(select)
        3    0.000    0.000    0.432    0.144 _decorators.py:325(wrapper)
      199    0.424    0.002    0.424    0.002 {method 'poll' of 'select.poll' objects}
       65    0.001    0.000    0.344    0.005 kml_generator.py:10(save)
       65    0.001    0.000    0.343    0.005 kml.py:312(save)
       65    0.001    0.000    0.330    0.005 kml.py:226(_genkml)
        1    0.000    0.000    0.301    0.301 {built-in method builtins.print}
