time,thrust
0,8.087421
0.001,0
0.002,1.866328
0.003,1.866328
0.004,9.33164
0.005,9.33164
0.006,3.110547
0.007,8.087421
0.008,0
0.009,10.575859
0.01,0
0.011,0
0.012,5.598984
0.013,3.110547
0.014,6.843203
0.015,0.622109
0.016,0
0.017,1.244219
0.018,0
0.019,0
0.02,10.575859
0.021,3.732656
0.022,0
0.023,4.976875
0.024,0
0.025,3.732656
0.026,1.866328
0.027,0.622109
0.028,6.221094
0.029,1.866328
0.03,1.866328
0.031,0
0.032,6.221094
0.033,0
0.034,3.732656
0.035,11.820078
0.036,6.221094
0.037,0
0.038,7.465312
0.039,6.221094
0.04,5.598984
0.041,0
0.042,2.488437
0.043,6.843203
0.044,9.95375
0.045,0
0.046,0
0.047,6.843203
0.048,1.866328
0.049,0
0.05,3.732656
0.051,4.354765
0.052,0
0.053,6.843203
0.054,6.843203
0.055,8.087421
0.056,15.552733
0.057,4.354765
0.058,1.244219
0.059,8.709531
0.06,4.354765
0.061,0
0.062,0.622109
0.063,0
0.064,0
0.065,1.866328
0.066,19.907499
0.067,7.465312
0.068,0
0.069,0
0.07,1.866328
0.071,6.843203
0.072,0
0.073,0.622109
0.074,5.598984
0.075,0
0.076,4.976875
0.077,5.598984
0.078,0
0.079,7.465312
0.08,1.866328
0.081,0
0.082,3.110547
0.083,6.843203
0.084,14.930624
0.085,0
0.086,8.709531
0.087,3.732656
0.088,13.686406
0.089,7.465312
0.09,0
0.091,13.064297
0.092,0
0.093,0
0.094,0
0.095,1.866328
0.096,6.221094
0.097,4.354765
0.098,0
0.099,6.843203
0.1,0
0.101,1.866328
0.102,10.575859
0.103,3.732656
0.104,1.866328
0.105,9.33164
0.106,8.709531
0.107,4.354765
0.108,0
0.109,0
0.11,0
0.111,4.354765
0.112,0.622109
0.113,6.843203
0.114,6.843203
0.115,0
0.116,0
0.117,9.33164
0.118,4.354765
0.119,0
0.12,0
0.121,12.442187
0.122,1.866328
0.123,0
0.124,0
0.125,0.622109
0.126,10.575859
0.127,10.575859
0.128,1.244219
0.129,0
0.13,0
0.131,7.465312
0.132,3.110547
0.133,1.866328
0.134,5.598984
0.135,0
0.136,8.087421
0.137,7.465312
0.138,3.110547
0.139,0
0.14,0
0.141,0
0.142,0
0.143,8.087421
0.144,4.354765
0.145,0
0.146,6.221094
0.147,11.820078
0.148,1.244219
0.149,0
0.15,0
0.151,6.843203
0.152,1.866328
0.153,0
0.154,0
0.155,1.244219
0.156,6.843203
0.157,4.354765
0.158,2.488437
0.159,5.598984
0.16,6.843203
0.161,5.598984
0.162,4.976875
0.163,0
0.164,0
0.165,4.976875
0.166,3.732656
0.167,0
0.168,0
0.169,1.866328
0.17,0
0.171,1.866328
0.172,5.598984
0.173,0.622109
0.174,0
0.175,0.622109
0.176,3.732656
0.177,12.442187
0.178,4.976875
0.179,3.732656
0.18,9.33164
0.181,0
0.182,6.843203
0.183,4.354765
0.184,5.598984
0.185,3.732656
0.186,0
0.187,4.976875
0.188,9.95375
0.189,3.110547
0.19,0
0.191,0
0.192,3.732656
0.193,0
0.194,0
0.195,6.221094
0.196,14.308516
0.197,0
0.198,5.598984
0.199,0
0.2,0
0.201,0
0.202,3.732656
0.203,6.221094
0.204,9.95375
0.205,4.354765
0.206,1.866328
0.207,1.244219
0.208,0
0.209,4.976875
0.21,9.33164
0.211,0.622109
0.212,5.598984
0.213,8.709531
0.214,5.598984
0.215,0
0.216,0
0.217,3.110547
0.218,4.976875
0.219,0
0.22,0
0.221,6.221094
0.222,0.622109
0.223,8.709531
0.224,6.843203
0.225,2.488437
0.226,3.732656
0.227,7.465312
0.228,0
0.229,9.95375
0.23,0
0.231,0.622109
0.232,0.622109
0.233,0
0.234,0
0.235,0
0.236,0
0.237,1.866328
0.238,1.244219
0.239,0
0.24,0
0.241,0
0.242,1.866328
0.243,1.866328
0.244,0
0.245,2.488437
0.246,0
0.247,8.709531
0.248,5.598984
0.249,4.976875
0.25,3.110547
0.251,0
0.252,0
0.253,0
0.254,4.976875
0.255,0
0.256,7.465312
0.257,3.732656
0.258,0
0.259,6.221094
0.26,6.221094
0.261,0
0.262,5.598984
0.263,0
0.264,11.197968
0.265,0
0.266,6.221094
0.267,2.488437
0.268,0
0.269,0
0.27,0
0.271,5.598984
0.272,3.110547
0.273,0
0.274,9.33164
0.275,0
0.276,1.244219
0.277,4.354765
0.278,6.221094
0.279,6.843203
0.28,12.442187
0.281,4.976875
0.282,11.820078
0.283,0
0.284,0
0.285,5.598984
0.286,1.244219
0.287,0
0.288,3.732656
0.289,12.442187
0.29,0
0.291,0
0.292,1.244219
0.293,3.732656
0.294,0
0.295,11.820078
0.296,6.221094
0.297,6.221094
0.298,5.598984
0.299,2.488437
0.3,7.465312
0.301,16.174843
0.302,5.598984
0.303,0
0.304,14.930624
0.305,5.598984
0.306,1.244219
0.307,4.354765
0.308,0
0.309,0.622109
0.31,1.244219
0.311,3.732656
0.312,7.465312
0.313,0
0.314,0
0.315,0.622109
0.316,0
0.317,3.110547
0.318,6.843203
0.319,4.354765
0.32,0
0.321,9.95375
