x,y,z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-2.625371090977083e-09,-3.215152303139105e-25,1.3506363389498607e-08
-1.2727510134492699e-07,-1.558670454732205e-23,6.547736337570748e-07
-6.706095818370429e-07,-8.212598778742788e-23,3.449987217387925e-06
-1.9606876974127857e-06,-2.4011499127641633e-22,1.0086863767788528e-05
-4.334251247361396e-06,-5.307926916781559e-22,2.22977896608374e-05
-8.200078588987708e-06,-1.0042199996760547e-21,4.218574723624887e-05
-1.398408245064539e-05,-1.712556181219555e-21,7.194186753112767e-05
-2.211243764974118e-05,-2.707992598910096e-21,0.00011375862991386906
-3.3011730009872226e-05,-4.042770949090666e-21,0.0001698306281964158
-4.712190112728348e-05,-5.770768538526575e-21,0.00024242116568452203
-6.49484225976682e-05,-7.953887784390394e-21,0.0003341306683057706
-8.701888882371168e-05,-1.0656740366331781e-20,0.00044767337396329956
-0.00011385281247020114,-1.394294823655556e-20,0.0005857219436230875
-0.0001459727035363923,-1.7876500414872826e-20,0.0007509644582001898
-0.00018385818310327526,-2.2516133543447394e-20,0.0009458683542529586
-0.0002278173297112604,-2.7899576362119213e-20,0.0011720185584736958
-0.0002781156018786509,-3.4059338163362926e-20,0.0014307807365488122
-0.0003350183805834566,-4.102791874370598e-20,0.0017235201552544901
-0.00039879106936603485,-4.883782066276646e-20,0.002051602197440128
-0.00046970442790101615,-5.752220241743183e-20,0.0024164198008772095
-0.0005480506533819836,-6.711684784348626e-20,0.0028194761898114365
-0.0006341273300540432,-7.765820050025422e-20,0.0032623023024660586
-0.0007282320535629971,-8.918270534324294e-20,0.003746429135715823
-0.0008306626581555072,-1.0172683654813754e-19,0.004273388913930487
-0.0009417387404742145,-1.1532973341548083e-19,0.00484482581930144
-0.0010618727603456536,-1.3004190770590707e-19,0.005462861773685708
-0.0011914986489823401,-1.4591650066646198e-19,0.006129729159645293
-0.0013310507424743186,-1.6300670312738837e-19,0.006847662442656516
-0.0014809647279157264,-1.8136587136921265e-19,0.007618903038509224
-0.0016416857101630477,-2.0104851501571255e-19,0.008445740813180372
-0.0018137164152804623,-2.221162002534229e-19,0.009330762068062375
-0.001997571669788661,-2.4463197514741164e-19,0.01027661535599977
-0.0021937672082818407,-2.686589989696781e-19,0.011285953901470323
-0.002402819333470554,-2.9426050056640894e-19,0.01236143385165704
-0.002625195315411235,-3.214937040154993e-19,0.013505459102605307
-0.0028612022683434965,-3.5039621996400074e-19,0.014719609620109889
-0.003111101951973104,-3.8100010473049423e-19,0.0160052320411163
-0.0033751567344636256,-4.1333748914815103e-19,0.017363676132814074
-0.003653630669363062,-4.474407104502074e-19,0.01879630033294403
-0.003946800028295749,-4.833436021527071e-19,0.02030452593580063
-0.004255019191584887,-5.210895633284991e-19,0.021890176070098778
-0.004578678728258703,-5.607264248886094e-19,0.023555260039301144
-0.004918151830059473,-6.022998896403032e-19,0.0253016977484842
-0.005273818277212293,-6.458564672472845e-19,0.02713144299753013
-0.005646105495313176,-6.914485022483567e-19,0.029046694700505447
-0.006035651406918777,-7.391541176252303e-19,0.031050734684460853
-0.006443144241588652,-7.890575971906247e-19,0.033147103583540886
-0.006869272280856741,-8.41243231122285e-19,0.03533934229927508
-0.007314726664893447,-8.957956596799558e-19,0.0376310064396027
-0.007780176092892911,-9.527967748964067e-19,0.040025536163648394
-0.008266241513921774,-1.0123226211003279e-18,0.04252612597742673
-0.008773527021776107,-1.0744471784450932e-18,0.04513588367410226
-0.009302636767555448,-1.1392444341017273e-18,0.047857917341640396
-0.009854175719519435,-1.2067884753145054e-18,0.050695339271930775
-0.010428753382505927,-1.2771539448983026e-18,0.053651285095534754
-0.011027008337704173,-1.35041904649406e-18,0.05672904002787403
-0.011649585216826557,-1.4266627247180976e-18,0.05993192041161335
-0.012297128722681816,-1.5059639328935275e-18,0.06326324295517652
-0.012970285062575283,-1.5884018085911556e-18,0.06672633210695134
-0.01366960567698849,-1.674043883793045e-18,0.07032402478228163
-0.01439528439970931,-1.762913896291984e-18,0.07405731816955924
-0.015147423076268785,-1.855024318568333e-18,0.07792673621861987
-0.01592612357407871,-1.9503876257820706e-18,0.081932802991866
-0.01673148779402726,-2.04901629719285e-18,0.0860760427239211
-0.017563614850788153,-2.150922470847463e-18,0.0903569653155779
-0.018422593336598327,-2.2561169961658502e-18,0.09477602653438472
-0.019308509048453198,-2.364610380249592e-18,0.0993336677676189
-0.020221447815949357,-2.4764131341927623e-18,0.10403033057027625
-0.02116149551999158,-2.5915357753728755e-18,0.10886645676131036
-0.02212876812553492,-2.709992505401032e-18,0.11384264292869639
-0.023123502425991344,-2.8318123231066348e-18,0.11896010726893283
-0.024145965408402095,-2.957027924972233e-18,0.12422022331127504
-0.025196424092133452,-3.0856720114390477e-18,0.12962436475127606
-0.026275147269478435,-3.217777500069208e-18,0.13517391440540644
-0.02738237036421995,-3.3533732219609304e-18,0.140870083424034
-0.028518221352864935,-3.492474849716175e-18,0.14671353018921143
-0.029682798298387054,-3.635094392585622e-18,0.1527047591912037
-0.030876199275026456,-3.781243861199699e-18,0.15884427497823683
-0.03209852241130178,-3.9309352728360315e-18,0.16513258237777548
-0.03334989660076422,-4.08418441240211e-18,0.1715703444896561
-0.0346305743307829,-4.241022200682778e-18,0.17815886024878744
-0.03594083894361826,-4.401483337097266e-18,0.18489958732473344
-0.03728097452159441,-4.565602611696463e-18,0.1917939871943553
-0.03865126573956293,-4.733414887094951e-18,0.19884352438280412
-0.04005195155953154,-4.9049494276985165e-18,0.2060494282430363
-0.04148311165841823,-5.080215991115414e-18,0.21341210867726018
-0.04294478569280381,-5.259219433876123e-18,0.22093176970089803
-0.04443700788891509,-5.441963947484555e-18,0.22860858739262238
-0.04595981962209728,-5.628454598959117e-18,0.23644277461013155
-0.04751328758055419,-5.818699555249336e-18,0.24443467443449218
-0.049097601295211755,-6.0127220271994006e-18,0.2525852619177906
-0.050712979816630865,-6.21054884076613e-18,0.26089566397746944
-0.05235964214792587,-6.4122068160958255e-18,0.2693670072868802
-0.0540378074728434,-6.6177227954558585e-18,0.27800041944864673
-0.05574769141009392,-6.827123184522594e-18,0.28679700972487215
-0.057489449938645555,-7.040427085210429e-18,0.295757580557783
-0.059263248377674126,-7.257654743279322e-18,0.3048829824408093
-0.06106924559068726,-7.478825613897879e-18,0.31417403265584715
-0.06290760049727762,-7.70395915910315e-18,0.3236315487733252
-0.0647784590958276,-7.933073258540306e-18,0.3332562818898081
-0.06668191662382697,-8.166179575438042e-18,0.3430487219597061
-0.06861805544223586,-8.40328819610498e-18,0.3530092926934275
-0.07058695792091005,-8.644409207939145e-18,0.36313841784714473
-0.07258870828276276,-8.889552925272645e-18,0.3734365307101843
-0.07462339878691103,-9.138730646588711e-18,0.3839041059145567
-0.07669118075878492,-9.391960903907708e-18,0.3945419219621115
-0.07879221724782148,-9.649263665026748e-18,0.4053508176694847
-0.08092667132571024,-9.910658900468098e-18,0.4163316319677916
-0.08309470609618977,-1.0176166584678887e-17,0.4274852039530253
-0.08529648218280719,-1.0445806388370407e-17,0.4388123599617004
-0.08753215278679527,-1.0719597073282588e-17,0.450313888145834
-0.08980186999246012,-1.0997557264371302e-17,0.4619905709113541
-0.09210578414533856,-1.1279705373654589e-17,0.47384318171899564
-0.09444404834784963,-1.1566060150771191e-17,0.48587250821242367
-0.0968167975474154,-1.185663812201396e-17,0.49807924463594017
-0.09922412417803858,-1.2151450607283446e-17,0.510463866521265
-0.10166610730941861,-1.2450507289825084e-17,0.5230267806467378
-0.10414282552653932,-1.2753817793523768e-17,0.5357683912970531
-0.10665435883332107,-1.3061391916033989e-17,0.5486891100567003
