Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude
1.7481,-1.7887,0,2.5011,7
2.7395,-2.0818,0,3.4408,170.1224
3.473,-2.3376,0,4.1864,333.2449
3.8568,-1.7878,0,4.251,496.3673
4.0484,-0.8338,0,4.1334,659.4898
4.057,0.2263,0,4.0633,822.6122
4.224,1.2051,0,4.3925,985.7347
9,0,0,9,1015
9,0,0,9,1215
4.2034,2.8258,0,5.065,1311.9796
4.3226,3.5017,0,5.563,1475.102
4.3529,3.9472,0,5.8761,1638.2245
4.4045,4.3275,0,6.1747,1801.3469
4.5507,4.7704,0,6.5928,1964.4694
4.6614,5.1988,0,6.9826,2127.5918
4.8581,5.5537,0,7.3786,2290.7143
5.07,5.9593,0,7.8242,2453.8367
5.0902,6.2573,0,8.0662,2616.9592
5.0105,6.5378,0,8.237,2780.0816
4.8639,6.7389,0,8.3109,2943.2041
4.7112,6.9495,0,8.3959,3106.3265
4.6353,7.0734,0,8.4569,3269.449
4.7326,7.2166,0,8.63,3432.5714
5.034,7.3791,0,8.9327,3595.6939
5.2697,7.4495,0,9.125,3758.8163
5.4677,7.7243,0,9.4636,3921.9388
5.7543,8.1127,0,9.9462,4085.0612
5.9331,8.3526,0,10.2454,4248.1837
5.831,8.4437,0,10.2614,4411.3061
5.7737,8.6617,0,10.4097,4574.4286
5.8192,8.9518,0,10.677,4737.551
5.9544,9.2564,0,11.0061,4900.6735
6.2419,9.5093,0,11.3749,5063.7959
6.61,9.9154,0,11.9166,5226.9184
6.9261,10.3446,0,12.4492,5390.0408
7.1519,10.771,0,12.9292,5553.1633
7.424,11.1696,0,13.4118,5716.2857
7.6861,11.4961,0,13.8289,5879.4082
7.9528,11.9801,0,14.3795,6042.5306
8.2488,12.6604,0,15.1106,6205.6531
8.5821,13.3966,0,15.9097,6368.7755
8.9033,13.922,0,16.5255,6531.898
9.3691,14.2753,0,17.0753,6695.0204
9.9242,14.5588,0,17.6195,6858.1429
10.4121,14.7942,0,18.0909,7021.2653
10.8078,15.0459,0,18.5253,7184.3878
11.0396,15.3028,0,18.8692,7347.5102
11.2026,15.5565,0,19.1704,7510.6327
11.4612,15.9053,0,19.6046,7673.7551
11.6026,16.1074,0,19.8512,7836.8776
11.7475,16.0799,0,19.914,8000
