Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude
-3.938149452,1.830846786,0,4.342927706,10
-3.916524887,1.846439362,0,4.329954446,130.9235744
-3.822771072,1.810441017,0,4.229807956,352.6364441
-3.676294327,1.760807037,0,4.076221461,578.4890137
-3.29981041,1.770378113,0,3.744727948,808.8202515
-2.654155731,1.465320587,0,3.03178282,1044.427124
-2.679726601,3.930440903,0,4.757026418,1535.043091
-2.681584358,5.024335861,0,5.695159832,2050.784424
-3.065942764,10.66962242,0,11.10138945,3169.105713
-3.074394226,11.70342827,0,12.10050136,4432.986816
-8.037986755,11.44744492,0,13.98760974,5884.481934
-8.290603638,13.39076328,0,15.74949682,7602.783203
-11.26815987,17.56977081,0,20.87266809,9717.936523
-12.74485397,20.52435493,0,24.15947947,10988.04297
-13.81928825,24.18715286,0,27.85661665,12468.99023
-15.56822205,20.78706741,0,25.97059316,14278.8125
-9.686351776,13.73975182,0,16.810895,16757.73242
