Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude
-3.973827362,0.845561981,0,4.762694171,10
-4.02276516,0.866505623,0,4.818106212,124.1154118
-3.997875214,1.202348709,0,4.758732894,346.0036926
-2.868280411,1.510707855,0,3.314752806,572.100647
-1.133261681,3.181341171,0,1.341482979,803.335022
-1.312705994,2.022220612,0,1.652436426,1039.946411
-2.588909149,3.353555679,0,5.114736205,1530.382324
-2.939489365,4.908025742,0,6.631950593,2046.536865
-5.577575684,10.61262035,0,10.44893342,3165.189697
-5.458715439,11.70133591,0,13.13500735,4427.055176
-8.209104538,11.87359333,0,14.78993935,5877.668457
-9.690063477,13.45610046,0,17.24941767,7599.772949
-11.31393051,17.68313026,0,23.56393039,9717.24707
-10.93262482,20.78169441,0,24.56308148,10988.11035
-15.45728874,23.38061142,0,26.53946284,12473.0625
-15.40396881,20.04319382,0,26.7073092,14285.78418
-10.37164688,12.73936653,0,17.27608576,16759.49414
