Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude
-1.399143219,-1.056308746,0,1.753108643,10
-1.663690567,-0.898944855,0,1.891023044,127.2024498
-2.999660492,-0.19692421,0,3.006117465,348.4374542
-4.051605225,0.915184021,0,4.153681101,574.0041504
-3.864104271,2.564983368,0,4.637935046,804.2790527
-4.015665054,2.705108643,0,4.84181563,1039.697021
-1.727079391,3.582782745,0,3.977327674,1529.709839
-1.768356323,5.636973381,0,5.907838267,2045.899414
-2.581075668,9.561636925,0,9.903880668,3166.05835
-3.521993637,10.51696014,0,11.09102745,4431.62793
-6.042476654,11.63360405,0,13.10924358,5878.957031
-5.906368256,13.01662827,0,14.29397766,7596.080566
-10.18795776,16.60517502,0,19.48143529,9712.493164
-8.637863159,15.60702896,0,17.83793802,10986.22461
-14.60052299,18.34602356,0,23.44678767,12466.23047
-9.966627121,19.80323601,0,22.16984016,14283.73242
-10.25904465,14.65387917,0,17.8881014,16756.93359
