Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
0,0,0,0,0,
-0.98898187,-0.98898187,0,1.398631574,1,
-1.153676071,-1.153676071,0,1.631544346,2,
-1.262453166,-1.262453166,0,1.785378389,3,
-1.345796639,-1.345796639,0,1.903243859,4,
-1.414213562,-1.414213562,0,2,5,
-1.472688279,-1.472688279,0,2.082695737,6,
-1.524010274,-1.524010274,0,2.155275998,7,
-1.569910861,-1.569910861,0,2.220189231,8,
-1.611544199,-1.611544199,0,2.279067663,9,
-1.649721189,-1.649721189,0,2.333058079,10,
-1.685035003,-1.685035003,0,2.382999355,11,
-1.717933644,-1.717933644,0,2.429525058,12,
-1.748764375,-1.748764375,0,2.473126296,13,
-1.777802241,-1.777802241,0,2.51419204,14,
-1.805269078,-1.805269078,0,2.553036014,15,
-1.831346609,-1.831346609,0,2.589915211,16,
-1.856185705,-1.856185705,0,2.625042999,17,
-1.879913107,-1.879913107,0,2.658598612,18,
-1.902636382,-1.902636382,0,2.690734176,19,
-1.924447674,-1.924447674,0,2.72158,20,
-1.945426557,-1.945426557,0,2.751248622,21,
-1.965642264,-1.965642264,0,2.779837949,22,
-1.98515543,-1.98515543,0,2.807433732,23,
-2.004019483,-2.004019483,0,2.834111533,24,
-2.022281763,-2.022281763,0,2.859938297,25,
-2.039984426,-2.039984426,0,2.884973643,26,
-2.057165189,-2.057165189,0,2.909270911,27,
-2.07385794,-2.07385794,0,2.932878026,28,
-2.090093252,-2.090093252,0,2.955838223,29,
-2.105898804,-2.105898804,0,2.978190649,30,
-2.121299746,-2.121299746,0,2.999970871,31,
-2.136319001,-2.136319001,0,3.021211304,32,
-2.150977524,-2.150977524,0,3.041941587,33,
-2.165294528,-2.165294528,0,3.062188888,34,
-2.179287673,-2.179287673,0,3.081978183,35,
-2.192973231,-2.192973231,0,3.101332485,36,
-2.206366233,-2.206366233,0,3.12027305,37,
-2.219480592,-2.219480592,0,3.138819554,38,
-2.232329214,-2.232329214,0,3.156990251,39,
-2.244924097,-2.244924097,0,3.174802104,40,
-2.257276409,-2.257276409,0,3.192270912,41,
-2.269396573,-2.269396573,0,3.209411412,42,
-2.281294326,-2.281294326,0,3.226237376,43,
-2.292978782,-2.292978782,0,3.242761692,44,
-2.304458486,-2.304458486,0,3.258996444,45,
-2.315741457,-2.315741457,0,3.274952975,46,
-2.326835237,-2.326835237,0,3.290641949,47,
-2.337746923,-2.337746923,0,3.306073404,48,
-2.348483207,-2.348483207,0,3.321256803,49,
-2.359050403,-2.359050403,0,3.336201074,50,
-2.369454477,-2.369454477,0,3.350914657,51,
-2.379701074,-2.379701074,0,3.365405533,52,
-2.389795537,-2.389795537,0,3.379681259,53,
-2.399742932,-2.399742932,0,3.393749001,54,
-2.409548068,-2.409548068,0,3.407615558,55,
-2.419215511,-2.419215511,0,3.421287387,56,
-2.428749603,-2.428749603,0,3.434770628,57,
-2.438154474,-2.438154474,0,3.448071124,58,
-2.447434059,-2.447434059,0,3.461194439,59,
-2.456592109,-2.456592109,0,3.474145878,60,
-2.465632203,-2.465632203,0,3.486930501,61,
-2.474557755,-2.474557755,0,3.499553138,62,
-2.483372031,-2.483372031,0,3.512018407,63,
-2.492078152,-2.492078152,0,3.524330721,64,
-2.500679103,-2.500679103,0,3.536494303,65,
-2.509177745,-2.509177745,0,3.548513198,66,
-2.517576817,-2.517576817,0,3.560391279,67,
-2.525878946,-2.525878946,0,3.572132263,68,
-2.534086653,-2.534086653,0,3.583739713,69,
-2.542202356,-2.542202356,0,3.59521705,70,
-2.550228379,-2.550228379,0,3.606567561,71,
-2.558166957,-2.558166957,0,3.617794405,72,
-2.566020236,-2.566020236,0,3.628900619,73,
-2.573790282,-2.573790282,0,3.639889124,74,
-2.581479086,-2.581479086,0,3.650762735,75,
-2.589088563,-2.589088563,0,3.66152416,76,
-2.596620559,-2.596620559,0,3.672176011,77,
-2.604076854,-2.604076854,0,3.682720805,78,
-2.611459166,-2.611459166,0,3.69316097,79,
-2.61876915,-2.61876915,0,3.703498849,80,
-2.626008407,-2.626008407,0,3.713736705,81,
-2.633178482,-2.633178482,0,3.723876721,82,
-2.640280867,-2.640280867,0,3.73392101,83,
-2.647317005,-2.647317005,0,3.743871612,84,
-2.654288292,-2.654288292,0,3.753730502,85,
-2.661196079,-2.661196079,0,3.763499587,86,
-2.668041672,-2.668041672,0,3.773180718,87,
-2.674826337,-2.674826337,0,3.782775682,88,
-2.681551298,-2.681551298,0,3.792286214,89,
-2.688217744,-2.688217744,0,3.801713992,90,
-2.694826825,-2.694826825,0,3.811060645,91,
-2.701379658,-2.701379658,0,3.820327749,92,
-2.707877324,-2.707877324,0,3.829516837,93,
-2.714320874,-2.714320874,0,3.838629393,94,
-2.720711327,-2.720711327,0,3.847666858,95,
